v8-version,6,2,414,50,0
code-creation,Builtin,5,44696,0x25b7a4143600,44,"LoadIC_Miss"
code-creation,Builtin,4,44751,0x25b7a41436a0,40,"LoadIC_Slow"
tick,0x563ca4167ba5,45056,0,0x0,4
tick,0x563ca3b59568,46107,0,0x0,4
code-creation,Builtin,5,46935,0x25b7a4143740,3140,"LoadIC_Uninitialized"
code-creation,Builtin,5,46995,0x25b7a4144400,44,"StoreIC_Miss"
code-creation,Builtin,5,47001,0x25b7a41444a0,27,"StoreIC_Setter_ForDeopt"
tick,0x563ca3c17d7a,47172,0,0x0,4
tick,0x563ca4192bb5,48240,0,0x0,4
tick,0x563ca3d0145c,49308,0,0x0,4
tick,0x563ca3d0b25b,50373,0,0x0,4
code-creation,Stub,3,51161,0x25b7a4144520,2036,"RecordWriteStub"
code-creation,Stub,3,51182,0x25b7a4144d80,2036,"RecordWriteStub"
code-creation,Stub,3,51190,0x25b7a41455e0,852,"RecordWriteStub"
code-creation,Stub,3,51205,0x25b7a41459a0,2035,"RecordWriteStub"
code-creation,Stub,3,51218,0x25b7a4146200,2062,"RecordWriteStub"
code-creation,Stub,3,51235,0x25b7a4146a80,2039,"RecordWriteStub"
code-creation,Builtin,5,51246,0x25b7a41472e0,10704,"StoreIC_Uninitialized"
tick,0x563ca3c17786,51442,0,0x0,4
tick,0x563ca3c47f19,52507,0,0x0,4
tick,0x563ca3d013dd,53573,0,0x0,4
tick,0x563ca3d0a7b9,54639,0,0x0,4
code-creation,Builtin,5,55266,0x25b7a4149d20,11052,"StoreICStrict_Uninitialized"
tick,0x563ca3d05fd1,55707,0,0x0,4
code-creation,Stub,3,56479,0x25b7a414c8c0,2024,"RecordWriteStub"
code-creation,Builtin,5,56490,0x25b7a414d120,4068,"ResolveNativePromise"
code-creation,Builtin,5,56694,0x25b7a414e180,688,"RejectNativePromise"
tick,0x563ca3c10b06,56787,0,0x0,4
tick,0x563ca416b754,57876,0,0x0,4
code-creation,Stub,3,57891,0x25b7a414e4a0,2011,"RecordWriteStub"
code-creation,Stub,3,57923,0x25b7a414ece0,2024,"RecordWriteStub"
code-creation,Stub,3,57937,0x25b7a414f540,2049,"RecordWriteStub"
code-creation,Stub,3,57953,0x25b7a414fdc0,2046,"RecordWriteStub"
code-creation,Stub,3,57966,0x25b7a4150620,2066,"RecordWriteStub"
code-creation,Stub,3,57979,0x25b7a4150ea0,2033,"RecordWriteStub"
code-creation,Stub,3,57991,0x25b7a4151700,2042,"RecordWriteStub"
code-creation,Stub,3,58004,0x25b7a4151f60,2070,"RecordWriteStub"
code-creation,Stub,3,58016,0x25b7a41527e0,2065,"RecordWriteStub"
code-creation,Stub,3,58031,0x25b7a4153060,2027,"RecordWriteStub"
code-creation,Builtin,5,58041,0x25b7a41538c0,5328,"PerformNativePromiseThen"
code-creation,Builtin,5,58926,0x25b7a4154e00,2244,"HasProperty"
tick,0x7f41e469d934,58939,0,0x0,4
code-creation,Builtin,5,59277,0x25b7a4155740,1043,"DeleteProperty"
code-creation,Builtin,5,59283,0x25b7a4155bc0,22,"Abort"
code-creation,Builtin,5,59286,0x25b7a4155c40,22,"AbortJS"
code-creation,Builtin,5,59289,0x25b7a4155cc0,12,"EmptyFunction"
code-creation,Builtin,5,59292,0x25b7a4155d40,12,"Illegal"
code-creation,Builtin,5,59294,0x25b7a4155dc0,12,"StrictPoisonPillThrower"
code-creation,Builtin,5,59296,0x25b7a4155e40,12,"UnsupportedThrower"
code-creation,Builtin,5,59320,0x25b7a4155ec0,28,"ReturnReceiver"
code-creation,Stub,3,59433,0x25b7a4155f40,263,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,59527,0x25b7a41560c0,263,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,59607,0x25b7a4156240,227,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,59683,0x25b7a41563a0,227,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,59758,0x25b7a4156500,219,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,59830,0x25b7a4156640,219,"ArrayNoArgumentConstructorStub"
tick,0x563ca3cdc835,60003,0,0x0,4
code-creation,Stub,3,60023,0x25b7a4156780,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,60194,0x25b7a41569a0,391,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,60339,0x25b7a4156ba0,399,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,60479,0x25b7a4156da0,351,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,60623,0x25b7a4156f60,383,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,60761,0x25b7a4157140,351,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,60768,0x25b7a4157300,27,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,60848,0x25b7a4157380,219,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,61036,0x25b7a41574c0,351,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,61056,0x25b7a4157680,337,"ArrayConstructorStub"
code-creation,Builtin,5,61061,0x25b7a4157840,20,"ArrayConstructor"
tick,0x7f41e453c208,61064,0,0x0,4
code-creation,Stub,3,61158,0x25b7a41578c0,211,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,61293,0x25b7a4157a00,343,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,61371,0x25b7a4157bc0,211,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,61509,0x25b7a4157d00,391,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,61514,0x25b7a4157f00,110,"InternalArrayConstructorStub"
code-creation,Builtin,5,61517,0x25b7a4157fe0,16,"InternalArrayConstructor"
code-creation,Builtin,5,61524,0x25b7a4158060,12,"ArrayConcat"
code-creation,Builtin,5,61578,0x25b7a41580e0,111,"ArrayIsArray"
code-creation,Builtin,5,62122,0x25b7a41581c0,1484,"ArrayIncludes"
tick,0x563ca3c0d636,62127,0,0x0,4
code-creation,Builtin,5,62571,0x25b7a4158800,1220,"ArrayIndexOf"
code-creation,Builtin,5,62576,0x25b7a4158d40,12,"ArrayPop"
code-creation,Stub,3,62803,0x25b7a4158dc0,1999,"RecordWriteStub"
code-creation,Builtin,5,62809,0x25b7a4159600,699,"FastArrayPop"
code-creation,Builtin,5,62813,0x25b7a4159920,12,"ArrayPush"
tick,0x563ca3d05b68,63189,0,0x0,4
code-creation,Stub,3,63750,0x25b7a41599a0,2036,"RecordWriteStub"
code-creation,Stub,3,63766,0x25b7a415a200,2096,"RecordWriteStub"
code-creation,Builtin,5,63773,0x25b7a415aaa0,2620,"FastArrayPush"
code-creation,Builtin,5,63799,0x25b7a415b540,12,"ArrayShift"
code-creation,Stub,3,64146,0x25b7a415b5c0,2023,"RecordWriteStub"
code-creation,Stub,3,64163,0x25b7a415be20,2035,"RecordWriteStub"
code-creation,Builtin,5,64168,0x25b7a415c680,1100,"FastArrayShift"
code-creation,Builtin,5,64172,0x25b7a415cb40,12,"ArraySlice"
code-creation,Builtin,5,64174,0x25b7a415cbc0,12,"ArraySplice"
code-creation,Builtin,5,64176,0x25b7a415cc40,12,"ArrayUnshift"
tick,0x7f41e48d9c39,64252,0,0x0,4
tick,0x563ca3d006f4,65312,0,0x0,4
code-creation,Builtin,5,65713,0x25b7a415ccc0,3080,"ArrayForEachLoopContinuation"
code-creation,Builtin,5,65762,0x25b7a415d940,79,"ArrayForEachLoopEagerDeoptContinuation"
code-creation,Builtin,5,65801,0x25b7a415da00,79,"ArrayForEachLoopLazyDeoptContinuation"
tick,0x563ca3cdebca,66375,0,0x0,4
code-creation,Builtin,5,66450,0x25b7a415dac0,1685,"ArrayForEach"
tick,0x563ca3d00b8e,67438,0,0x0,4
code-creation,Builtin,5,67940,0x25b7a415e1c0,3176,"ArrayEveryLoopContinuation"
tick,0x563ca3d0b24e,68500,0,0x0,4
code-creation,Builtin,5,68708,0x25b7a415eea0,1949,"ArrayEvery"
tick,0x563ca3d068c6,69577,0,0x0,4
code-creation,Builtin,5,70315,0x25b7a415f6a0,3176,"ArraySomeLoopContinuation"
tick,0x563ca3d09547,70638,0,0x0,4
code-creation,Builtin,5,71081,0x25b7a4160380,1949,"ArraySome"
tick,0x563ca3d17cac,71700,0,0x0,4
tick,0x563ca3d03e16,72761,0,0x0,4
code-creation,Stub,3,73406,0x25b7a4160b80,2020,"RecordWriteStub"
code-creation,Stub,3,73422,0x25b7a41613e0,2020,"RecordWriteStub"
code-creation,Stub,3,73438,0x25b7a4161c40,2023,"RecordWriteStub"
code-creation,Builtin,5,73445,0x25b7a41624a0,5184,"ArrayFilterLoopContinuation"
tick,0x563ca3c0ecdb,73824,0,0x0,4
tick,0x563ca3d00c7a,74886,0,0x0,4
code-creation,Builtin,5,75795,0x25b7a4163940,6346,"ArrayFilter"
tick,0x7f41e453d87e,75949,0,0x0,4
tick,0x563ca3d00494,77012,0,0x0,4
code-creation,Builtin,5,77303,0x25b7a4165280,3128,"ArrayMapLoopContinuation"
code-creation,Builtin,5,77351,0x25b7a4165f20,79,"ArrayMapLoopEagerDeoptContinuation"
code-creation,Builtin,5,77494,0x25b7a4165fe0,303,"ArrayMapLoopLazyDeoptContinuation"
code-creation,Stub,3,77802,0x25b7a4166180,852,"RecordWriteStub"
code-creation,Stub,3,77811,0x25b7a4166540,623,"TransitionElementsKindStub"
tick,0x563ca3c50ab4,78076,0,0x0,4
code-creation,Stub,3,78754,0x25b7a4166820,864,"RecordWriteStub"
code-creation,Stub,3,78774,0x25b7a4166be0,2062,"RecordWriteStub"
code-creation,Stub,3,78782,0x25b7a4167460,852,"RecordWriteStub"
